			
BACK			1F0A0 
ACE 	OF	 SPADES	1F0A1 
TWO 	OF	 SPADES	1F0A2 
THRE	E 	OF SPADES	1F0A3 
FOUR	 O	F SPADES	1F0A4 
FIVE	 O	F SPADES	1F0A5 
SIX 	OF	 SPADES	1F0A6 
SEVE	N 	OF SPADES	1F0A7 
EIGH	T 	OF SPADES	1F0A8 
NINE	 O	F SPADES	1F0A9 
TEN 	OF	 SPADES	1F0AA 
JACK	 O	F SPADES	1F0AB 
QUEE	N 	OF SPADES	1F0AD 
KING	 O	F SPADES	1F0AE 
ACE 	OF	 HEARTS	1F0B1 
TWO 	OF	 HEARTS	1F0B2 
THRE	E 	OF HEARTS	1F0B3 
FOUR	 O	F HEARTS	1F0B4 
FIVE	 O	F HEARTS	1F0B5 
SIX 	OF	 HEARTS	1F0B6 
SEVE	N 	OF HEARTS	1F0B7 
EIGH	T 	OF HEARTS	1F0B8 
NINE	 O	F HEARTS	1F0B9 
TEN 	OF	 HEARTS	1F0BA 
JACK	 O	F HEARTS	1F0BB 
QUEE	N 	OF HEARTS	1F0BD 
KING	 O	F HEARTS	1F0BE 
ACE 	OF	 DIAMONDS	1F0C1 
TWO 	OF	 DIAMONDS	1F0C2 
THRE	E 	OF DIAMONDS	1F0C3 
FOUR	 O	F DIAMONDS	1F0C4 
FIVE	 O	F DIAMONDS	1F0C5 
SIX 	OF	 DIAMONDS	1F0C6 
SEVE	N 	OF DIAMONDS	1F0C7 
EIGH	T 	OF DIAMONDS	1F0C8 
NINE	 O	F DIAMONDS	1F0C9 
TEN 	OF	 DIAMONDS	1F0CA 
JACK	 O	F DIAMONDS	1F0CB 
QUEEN 	OF 	DIAMONDS	1F0CD 
KING O	F D	IAMONDS	1F0CE 
ACE OF	 CL	UBS	    1F0D1 
TWO OF	 CL	UBS	    1F0D2 
THREE 	OF 	CLUBS	1F0D3 
FOUR O	F C	LUBS	1F0D4 
FIVE O	F C	LUBS	1F0D5 
SIX OF	 CL	UBS	    1F0D6 
SEVEN 	OF 	CLUBS	1F0D7 
EIGHT 	OF 	CLUBS	1F0D8 
NINE O	F C	LUBS	1F0D9 
TEN OF	 CL	UBS	    1F0DA 
JACK O	F C	LUBS	1F0DB 
QUEEN 	OF 	CLUBS	1F0DD 
KING O	F C	LUBS	1F0DE
